dataset,split,case_id,frame_id,frame_path,label,store_id,morphology,source_video,frame_index,width,height,variant,synthetic_case_id,source_case_id,chunk_start,chunk_end,split_unit,synthetic_case,orig_frame_id,perturbation_id,rng_seed,render_in_pipeline,blur_sigma,jpeg_q,brightness,contrast,bbox_area_frac
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000010.jpg,images/SUN_0086.000010.jpg,1,sun,flat,,10,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000007.jpg,images/SUN_0086.000007.jpg,1,sun,flat,,7,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000058.jpg,images/SUN_0086.000058.jpg,1,sun,flat,,58,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000079.jpg,images/SUN_0086.000079.jpg,1,sun,flat,,79,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000060.jpg,images/SUN_0086.000060.jpg,1,sun,flat,,60,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000045.jpg,images/SUN_0086.000045.jpg,1,sun,flat,,45,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000046.jpg,images/SUN_0086.000046.jpg,1,sun,flat,,46,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000020.jpg,images/SUN_0086.000020.jpg,1,sun,flat,,20,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000024.jpg,images/SUN_0086.000024.jpg,1,sun,flat,,24,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
SUN,train,SUN_0086,SUN_0086/images/SUN_0086.000008.jpg,images/SUN_0086.000008.jpg,1,sun,flat,,8,1158,1008,,,SUN_0086,-1,-1,case,False,,,-1,False,-1.0,-1,-1.0,-1.0,-1.0
